X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran
0.0571,0.0572,j,1,1.038885,0,f,1,1.32271,,1,0,0,0,0,1,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,j,1,0.793885,,0,0,1,1,1,1,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,j,1,0.92312,,1,0,2,2,2,1,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,1,1.07732,,1,0,3,3,3,1,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,1,,j,1,0.673165,,0,0,0,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.845525,,0,1,1,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.758915,,0,2,2,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.81476,,0,3,3,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.590145,,0,4,4,6,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.911805,,0,5,5,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,1.042315,,0,6,6,4,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.7124,,0,7,7,5,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.59292,,1,0,8,6,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.90697,,1,1,9,4,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.988425,,1,2,10,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,1,space,f,1,1.18932,,1,3,11,1,1,0.962565,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.83046,,1,4,12,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.694605,,1,5,13,5,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.61267,,1,6,14,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.80806,,1,7,15,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.788845,,2,0,16,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.87872,,2,1,17,6,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.643345,,2,2,18,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.70812,,2,3,19,4,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.82805,,2,4,20,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.623215,,2,5,21,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,1,space,f,1,0.847105,,2,6,22,5,1,0.67893,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.69476,,2,7,23,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,0.72825,,3,0,24,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.6572,,3,1,25,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,f,1,0.66095,,3,2,26,5,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,1,space,j,1,0.82791,,3,3,27,7,1,0.95787,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,DP,2,2,2020-11-16_09h58.36.036,global_local,2020.2.4,Linux x86_64,60,1920,1080,0,,j,1,1.00714,,3,4,28,6,1,,,,,,,,,,,,,,,,,
